snapshot_date,lane,carrier,rate_usd,status,method,components,notes
2026-09-17,Port Everglades FL → Lake Wales FL,Maersk,1715.00,Available,component_sum,"1575 haulage + 140 import intermodal fuel","Fresh quote observed 2026-09-17"
2026-09-17,Port Everglades FL → Lake Wales FL,MSC,1553.00,Available,component_sum,"1125 oncarriage + 428 fuel escalation surcharge","Fresh quote observed 2026-09-17; no chassis charge shown in supplied screenshot"
2026-09-17,Port Everglades FL → Lake Wales FL,Hapag-Lloyd,,No Service,none,,"Hapag-Lloyd does not offer Lake Wales via Port Everglades"
2026-09-17,Port Everglades FL → Lake Wales FL,SSL Average,1634.00,Calculated,average,"(1715 + 1553) / 2","Current SSL average for the 2026-09-17 Port Everglades routing snapshot"
